tick_id,ID,trial,obs_date,arena,sex,treatment,origin,velocity,distance_cm,time_moving_s,time_not_moving_s,video_title,time_moving_min,distance_m,com_garden_date,retention,time,distance
240124-3,35,Trial    45,240124,Arena 3,f,warm,lab,0.28298,5762.89,18327.4,2038.34,240124,305.4566667,57.6289,240109,15,305.4566667,57.6289
240124-4,36,Trial    45,240124,Arena 4,m,warm,lab,0.0568937,4610.68,31491.8,49553.2,240124,524.8633333,46.1068,240109,15,524.8633333,46.1068
240125-1,37,Trial    46,240125,Arena 1,m,cold,lab,0.090652,7803.99,49620.5,36468,240125,827.0083333,78.0399,240109,16,827.0083333,78.0399
240125-2,38,Trial    46,240125,Arena 2,m,warm,lab,0.046141,3971.47,37569.8,48503,240125,626.1633333,39.7147,240109,16,626.1633333,39.7147
240125-3,39,Trial    46,240125,Arena 3,f,warm,lab,0.023461,2026.92,38159.5,48236,240125,635.9916667,20.2692,240109,16,635.9916667,20.2692
240125-4,40,Trial    46,240125,Arena 4,f,cold,lab,0.0769347,6646.8,37413.4,48982.1,240125,623.5566667,66.468,240109,16,623.5566667,66.468
240126-1,41,Trial    47,240126,Arena 1,m,cold,lab,0.0740717,6234.51,38984.3,45189.9,240126,649.7383333,62.3451,240109,17,649.7383333,62.3451
240126-2,42,Trial    47,240126,Arena 2,f,warm,lab,0.39703,8684.01,21083.1,789.831,240126,351.385,86.8401,240109,17,351.385,86.8401
240126-3,43,Trial    47,240126,Arena 3,f,cold,lab,0.127565,10577.2,44103.4,38825.2,240126,735.0566667,105.772,240109,17,735.0566667,105.772
240126-4,44,Trial    47,240126,Arena 4,m,warm,lab,0.333272,2455.97,7185.39,187.333,240126,119.7565,24.5597,240109,17,119.7565,24.5597
240127-1,45,Trial    48,240127,Arena 1,f,cold,lab,0.116492,9857.62,49668.3,34956.6,240127,827.805,98.5762,240109,18,827.805,98.5762
240127-2,46,Trial    48,240127,Arena 2,f,warm,lab,0.107987,9290.75,41747.4,44290.3,240127,695.79,92.9075,240109,18,695.79,92.9075
240127-3,47,Trial    48,240127,Arena 3,m,cold,lab,0.0595347,5069.27,45026.2,40124.5,240127,750.4366667,50.6927,240109,18,750.4366667,50.6927
240127-4,48,Trial    48,240127,Arena 4,m,warm,lab,0.285597,2315.72,7744.4,364.507,240127,129.0733333,23.1572,240109,18,129.0733333,23.1572
240128-1,49,Trial    49,240128,Arena 1,f,warm,lab,0.0729294,6277.47,43384.5,42691.7,240128,723.075,62.7747,240109,19,723.075,62.7747
240128-2,50,Trial    49,240128,Arena 2,m,warm,lab,0.297445,4537.98,14233.5,1023.32,240128,237.225,45.3798,240109,19,237.225,45.3798
240128-3,51,Trial    49,240128,Arena 3,m,cold,lab,0.131303,11126.6,58021.6,26727.2,240128,967.0266667,111.266,240109,19,967.0266667,111.266
240128-4,52,Trial    49,240128,Arena 4,f,cold,lab,0.0793632,6849.04,55340.5,30959.8,240128,922.3416667,68.4904,240109,19,922.3416667,68.4904
240130-1,53,Trial    50,240130,Arena 1,m,warm,lab,0.0910529,7807.88,42826.4,42926,240130,713.7733333,78.0788,240109,21,713.7733333,78.0788
240130-2,54,Trial    50,240130,Arena 2,m,cold,lab,0.0629456,5382.94,36978.9,48541.8,240130,616.315,53.8294,240109,21,616.315,53.8294
240130-3,55,Trial    50,240130,Arena 3,f,warm,lab,0.0618649,5319.03,37061.7,48917.2,240130,617.695,53.1903,240109,21,617.695,53.1903
240130-4,56,Trial    50,240130,Arena 4,f,cold,lab,0.0689484,5952,38034.9,48290.8,240130,633.915,59.52,240109,21,633.915,59.52
240131-1,57,Trial    51,240131,Arena 1,f,warm,lab,0.089477,7729.72,41316.4,45071.5,240131,688.6066667,77.2972,240109,22,688.6066667,77.2972
240131-2,58,Trial    51,240131,Arena 2,m,warm,lab,0.0336685,2902.72,22132.1,64082.8,240131,368.8683333,29.0272,240109,22,368.8683333,29.0272
240131-3,59,Trial    51,240131,Arena 3,m,cold,lab,0.068477,5680.1,43279.5,39683.6,240131,721.325,56.801,240109,22,721.325,56.801
240131-4,60,Trial    51,240131,Arena 4,f,cold,lab,0.020841,1800.66,31886.6,54513.4,240131,531.4433333,18.0066,240109,22,531.4433333,18.0066
